貯金,信用履歴,年齢,家族構成,仕事,審査結果
100000,A23,A31,A41,A52,1
100000,A22,A31,A42,A54,1
100000,A22,A31,A42,A53,1
100000,A22,A31,A42,A53,1
100000,A22,A31,A42,A53,1
100000,A22,A31,A41,A54,1
100000,A22,A31,A42,A53,1
100000,A22,A32,A41,A53,1
100000,A22,A32,A41,A53,1
100000,A22,A32,A41,A53,1
100000,A22,A32,A41,A53,1
100000,A22,A32,A42,A53,1
100000,A22,A32,A42,A53,1
100000,A22,A32,A41,A53,1
100000,A22,A32,A41,A53,1
100000,A22,A31,A41,A53,1
100000,A22,A31,A41,A53,1
100000,A22,A31,A42,A53,1
100000,A22,A31,A41,A52,1
100000,A22,A31,A42,A53,1
100000,A22,A31,A41,A53,1
100000,A22,A31,A41,A54,1
100000,A23,A32,A41,A52,1
100000,A23,A32,A41,A54,1
100000,A23,A32,A41,A53,1
100000,A23,A32,A41,A54,1
100000,A23,A32,A41,A53,1
100000,A23,A32,A41,A54,1
100000,A23,A32,A41,A52,1
100000,A23,A32,A41,A54,1
100000,A23,A32,A41,A53,1
100000,A23,A32,A41,A53,1
100000,A23,A33,A41,A53,1
100000,A23,A33,A42,A53,1
100000,A23,A33,A41,A54,1
100000,A23,A33,A42,A53,1
100000,A23,A33,A42,A53,1
100000,A23,A33,A41,A54,1
1000000,A20,A33,A42,A53,1
1000000,A20,A33,A41,A54,1
1000000,A20,A33,A42,A53,1
1000000,A20,A33,A42,A53,1
1000000,A20,A31,A42,A52,1
1000000,A20,A31,A42,A52,1
1000000,A20,A31,A41,A53,1
1000000,A20,A31,A42,A53,1
1000000,A20,A31,A41,A52,1
1000000,A20,A31,A41,A54,1
1000000,A20,A31,A41,A52,1
1000000,A20,A32,A42,A52,1
1000000,A20,A32,A42,A52,1
1000000,A20,A32,A42,A54,1
1000000,A20,A32,A41,A54,1
1000000,A20,A32,A41,A54,1
1000000,A20,A32,A42,A53,1
1000000,A20,A32,A42,A52,1
1000000,A20,A32,A42,A53,1
1000000,A21,A32,A41,A53,1
1000000,A20,A32,A41,A53,1
1000000,A20,A33,A42,A53,1
1000000,A21,A33,A42,A53,1
1000000,A20,A33,A41,A53,1
1000000,A21,A33,A41,A53,1
1000000,A21,A33,A42,A53,1
1000000,A21,A33,A41,A53,1
1000000,A20,A33,A42,A53,1
1000000,A20,A33,A41,A53,1
1000000,A20,A33,A41,A53,1
1000000,A20,A33,A41,A53,1
1000000,A20,A34,A42,A53,1
1000000,A21,A34,A41,A53,1
1000000,A21,A34,A42,A52,1
1000000,A21,A34,A41,A53,1
1000000,A21,A34,A41,A53,1
1000000,A21,A34,A41,A54,1
1000000,A21,A34,A41,A54,1
1000000,A21,A34,A41,A53,1
1000000,A21,A34,A41,A53,1
1000000,A21,A34,A42,A53,1
1000000,A21,A35,A41,A54,1
1000000,A21,A35,A41,A53,1
1000000,A21,A31,A42,A52,1
1000000,A21,A31,A41,A54,1
1000000,A21,A31,A41,A53,1
3000000,A21,A31,A41,A52,1
3000000,A22,A31,A42,A52,1
3000000,A22,A31,A42,A52,1
3000000,A22,A31,A42,A52,1
3000000,A20,A32,A42,A54,1
3000000,A21,A32,A42,A54,1
3000000,A22,A32,A42,A54,1
3000000,A20,A32,A42,A52,1
3000000,A20,A32,A42,A53,1
3000000,A20,A32,A41,A53,1
3000000,A20,A32,A42,A53,1
3000000,A21,A32,A41,A53,1
3000000,A22,A32,A42,A53,1
3000000,A22,A32,A41,A53,1
3000000,A22,A33,A41,A53,1
3000000,A22,A33,A42,A53,1
3000000,A20,A33,A42,A54,1
3000000,A20,A33,A41,A52,1
3000000,A20,A33,A41,A53,1
3000000,A23,A33,A41,A53,1
3000000,A21,A33,A41,A54,1
3000000,A21,A33,A41,A53,1
3000000,A21,A33,A42,A53,1
3000000,A21,A33,A41,A52,1
3000000,A21,A34,A42,A52,1
3000000,A21,A34,A42,A53,1
3000000,A21,A34,A41,A53,1
3000000,A21,A34,A41,A53,1
3000000,A21,A34,A41,A53,1
3000000,A21,A34,A41,A52,1
3000000,A22,A34,A41,A53,1
3000000,A22,A34,A41,A53,1
3000000,A22,A34,A42,A52,1
3000000,A22,A34,A41,A53,1
3000000,A22,A35,A42,A53,1
3000000,A22,A35,A42,A52,1
3000000,A22,A35,A41,A54,1
3000000,A22,A35,A42,A52,1
3000000,A22,A35,A41,A53,1
3000000,A22,A35,A41,A52,1
3000000,A22,A35,A41,A54,1
3000000,A22,A35,A42,A54,1
3000000,A22,A35,A41,A53,1
3000000,A22,A35,A42,A53,1
3000000,A22,A35,A42,A53,1
